apparition	ghost	phantom
diddy	puffdaddy	puffy
augustus	caesaraugustus	gaiusoctavius
earth	globe	planetearth
frontman	leadvocalist	leadvocals
gallons	gallon	usgal
host	presenter	tvhost
mentalillness	psychiatricdisorders	psychiatricillness
distilledbeverage	liquor	spirits
cephas	peter	petrus
cheikh	shaikh	shaykh
dairycattle	dairycow
televisionprogramme	televisionprogram
compoundmicroscope	opticalmicroscope
dancemusic	electronicdancemusic
76ers	sixers
newyorkpolicedepartment	nypd
greenvegetables	leafygreens
piracy	pirate
ohiostateuniversity	osu
analgesics	analgesic
huntervalley	hunter
f15eagle	mcdonnelldouglasf15eagle
ami	myocardialinfarction
lm	lumens
computerscience	cs
countylaois	leix
uav	unmannedaerialvehicle
mysteryfiction	mystery
divide	drainagedivide
pozsony	pressburg
arsenalfc	arsenalfootballclub
tiff	torontofilmfestival
percival	sirpercival
braintumor	braintumour
thiamine	vitaminb1
personalcomputers	personalcomputer
discoverychannel	thediscoverychannel
ushighways	usroutes
dog	domesticdog
bookingagent	talentagent
gaelic	scottishgaelic
claudiusptolemaeus	claudiusptolemy
coder	computerprogrammer
nachmanides	ramban
discjockey	dj
collegeradio	studentradio
diabetesmellitustype2	type2diabetes
mercury	quicksilver
chemicalmanufacturing	chemicals
coloncancer	colorectalcancer
asphalt	bitumen
sirwinstonchurchill	winstonchurchill
virgilio	virgil
sodapop	softdrink
adventistchurch	seventhdayadventistchurch
gatwickairport	londongatwick
medication	medicine
metropolitanopera	themet
openvms	vms
frenchhorn	horns
neurologicaldisease	neurologicaldisorder
davinci	leonardodavinci
bangla	bengali
mercedesbenzsuperdome	superdome
ak47	kalashnikov
khmerlanguage	khmer
ferriswheel	observationwheel
jewishnewyear	roshhashanah
slovene	slovenian
independenceday	july4th
victorrecords	victortalkingmachinecompany
benares	varanasi
noordbrabant	northbrabant
hendrix	jimmyjames
easterncampaign	greatpatrioticwar
kaiserwilhelmii	wilhelmii
alopecia	hairloss
songdynasty	southernsongdynasty
bipolardepression	bipolardisorder
aerialreconnaissance	reconnaissance
nevada	nev
westvirginia	wv
laptopcomputer	laptop
ekaterinburg	sverdlovsk
musclespasms	musclespasm
bronx	thebronx
proprietarysoftware	proprietary
celsius	degreescelsius
domestichorse	horse
tinwoodman	tinwoodsman
shakespeare	williamshakespeare
mathematics	maths
stonecoldsteveaustin	stonecold
austriahungary	austrohungarianempire
earlmountbatten	lordmountbatten
johannstraussii	strauss
queenelizabeth	thequeenmother
stereosound	stereo
firearm	gun
laolanguage	laotian
objectorientedprogramminglanguage	oop
eveningstar	venus
railtransport	railway
sleepaids	sleeplessness
liverpool	thereds
sqmiles	squaremiles
chilepepper	chile
italianrepublic	italia
newyorktimes	thenewyorktimes
glycerin	glycerol
cattle	cow
slovaklanguage	slovakian
gothicrevivalarchitecture	victoriangothic
fiberglass	fibreglass
mexicancuisine	mexicanfood
urinarytractinfection	uti
governmentcorruption	politicalcorruption
cestoda	tapeworm
earthsciences	geosciences
consulgeneral	consul
thomasbabingtonmacaulay	thomasmacaulay
agriculture	farming
conservatory	musicschool
ancientegyptian	egyptian
lemberg	lvov
mbyte	megabyte
councillor	councilmember
led	lightemittingdiode
unionpacificrailroad	unionpacific
nuclearenergy	nuclearpower
londonphilharmonicorchestra	lpo
dixielandjazz	neworleansjazz
pil	publicimagelimited
liviadrusilla	livia
eastersunday	easter
hb	hemoglobin
russiansfsr	russiansovietfederativesocialistrepublic
chaplin	charleschaplin
blazers	portlandtrailblazers
carbonatedwater	seltzer
washingtonwizards	wizards
abc	americanbroadcastingcompany
fainting	swooning
spine	vertebralcolumn
grandcentralstation	grandcentralterminal
crossoversuv	cuv
occitanlanguage	occitan
thomasaquinas	thomas
northernarmy	unionarmy
arthurconandoyle	sirarthurconandoyle
2012olympicgames	londonolympics
catstevens	yusuf
fortcrook	offuttairforcebase
valvecorporation	valve
filmproducer	producer
cloth	textile
acne	pimples
governmentschool	stateschool
hardy	oliverhardy
f16fightingfalcon	generaldynamicsf16fightingfalcon
mosesmaimonides	rambam
thes	timeshighereducation
losangeleslakers	minneapolislakers
samanidempire	samanid
bassguitarist	bassplayer
dnafingerprinting	dnaprofiling
galician	gallego
generalofficer	generals
gawain	sirgawain
crf	crh
newarkairport	newarklibertyinternationalairport
athlete	sportsman
michiganstate	msu
notoriousbig	thenotoriousbig
marriage	matrimony
americas	america
elijah	eliyahu
digestivesystem	gi
thedailymail	themail
elberiver	elbe
canadiannationalrailway	cnrail
belarusian	belorussian
elessar	strider
perspiration	sweating
zipcode	zip
september11attacks	september11
princessbeatrix	queenbeatrix
germanlanguage	german
ill	il
manxlanguage	manx
rangersfootballclub	rangers
jurchens	jurchen
duomo	florencecathedral
asteroidbelt	mainbelt
gent	ghent
allied	allies
polishlanguage	polish
supernes	supernintendoentertainmentsystem
pennsaukentownship	pennsauken
4000bc	4thmillenniumbc
ucl	universitycollegelondon
musicproducer	recordproducer
cigars	cigar
arrangements	arrangement
patrick	saintpatrick
cowmilk	milk
aztec	nahuatl
princesspeach	princesstoadstool
bostonglobe	thebostonglobe
poona	pune
pangaea	pangea
affairs	affair
humor	humour
grandduke	grandprince
grocerystores	grocerystore
johnlydon	johnnyrotten
barbecue	barbeque
bcs	bowlchampionshipseries
iata	internationalairtransportassociation
comedian	comedienne
zoroastrianism	zoroastrian
henrydavidthoreau	thoreau
ctvtelevisionnetwork	ctv
onions	onion
civilpartnership	civilunion
turnerbroadcastingsystem	turnerbroadcasting
erniewise	wise
aufdermaur	melissaaufdermaur
federaltradecommission	ftc
maritimeclimate	oceanicclimate
eglinafb	eglinairforcebase
antiviraldrug	antivirals
mst3k	mysterysciencetheater3000
flipflop	latch
fourseasons	thefourseasons
chat	onlinechat
audioengineer	soundengineer
conversiontherapy	reparativetherapy
avicenna	ibnsina
generalstaff	staff
dorpat	tartu
sardegna	sardinia
spinalcordinjury	spinalinjury
abcworldnewstonight	worldnewstonight
mohawklanguage	mohawk
jacobneusner	neusner
richardbachman	stephenking
benjaminthompson	countrumford
rodentia	rodent
steiermark	styria
maxplanckinstitute	maxplancksociety
beachboys	thebeachboys
exclamation	interjection
magneticresonanceimaging	mri
sbsone	sbstv
carbonates	carbonate
lucasarts	lucasfilmgames
janetjackson	janet
classicalpianist	pianist
mammals	mammal
channel5	channelfive
ernestrenan	renan
countrycodes	countrycode
firstindochinawar	indochinawar
coronationstreet	corrie
edwardsafb	edwardsairforcebase
beaubridges	beau
bfi	britishfilminstitute
royalshakespearecompany	rsc
cbsthismorning	theearlyshow
leader	theleader
mandela	nelsonmandela
iihf	internationalicehockeyfederation
calories	calorie
summertime	summer
catwoman	selinakyle
beetle	coleoptera
cochin	kochi
amnestyinternational	amnesty
ladymarywortleymontagu	marywortleymontagu
sardinianlanguage	sardinian
godard	jeanlucgodard
aum	om
exhibitiongame	friendlymatch
fiatcurrency	fiatmoney
enemies	enemy
userexperience	ux
megaplex	multiplex
jiverecords	jive
kaohsiungcity	kaohsiung
thasos	thassos
commissionedofficer	militaryofficer
basquelanguage	basque
magician	wizard
eccentricity	orbitaleccentricity
eff	electronicfrontierfoundation
startupcompany	startup
technomusic	techno
taranto	tarentum
archdiocese	diocese
mediumearthorbit	meo
breathing	breath
luddites	luddite
americanjews	jewishamerican
socialinteraction	socialrelations
ramsarconvention	ramsarsite
odin	wotan
sabc	southafricanbroadcastingcorporation
dowland	johndowland
americanmotorscorporation	americanmotors
publicbroadcasting	publicradio
yaleuniversity	yale
torino	turin
lehi	sterngang
ferdinandmagellan	magellan
herculepoirot	poirot
grigorirasputin	rasputin
mascagni	pietromascagni
vacciniavirus	vaccinia
bilbobaggins	bilbo
jacobites	jacobitism
irishpeople	irish
cascademountains	cascaderange
afp	agencefrancepresse
usattorney	unitedstatesattorney
laurel	stanlaurel
thewelltemperedclavier	welltemperedclavier
lotusdevelopmentcorporation	lotussoftware
lirr	longislandrailroad
easttimor	timorleste
multistoreycarpark	parkinggarage
troad	troas
charlesdegaulle	degaulle
northrhinewestphalia	nrw
shivering	shiver
emericpressburger	pressburger
casimirivjagiellon	casimir
realitytelevision	realitytv
babel	babylon
giacomopuccini	puccini
garonneriver	garonne
antisubmarinewarfare	asw
spawning	spawn
newyorkpost	thenewyorkpost
astronomicalunits	astronomicalunit
biasedsample	samplingbias
sufism	sufi
imaginarynumbers	imaginarynumber
strike	striking
bluenoterecords	bluenote
quay	wharf
atlantaconstitution	theatlantajournalconstitution
bernini	gianlorenzobernini
paine	thomaspaine
airconditioner	airconditioning
chinesemedicine	traditionalchinesemedicine
drugs	drug
connecticut	ct
coordination	gleichschaltung
rmstitanic	titanic
trees	tree
bdp	boogiedownproductions
vehicles	vehicle
brownbear	ursusarctos
tennesseevalleyauthority	tva
chineseceramics	chineseporcelain
mickjagger	mick
seattleinternationalfilmfestival	siff
albinoluciani	popejohnpauli
peninsularmalaysia	westmalaysia
degreesfahrenheit	fahrenheit
grainsize	particlesize
thickener	thickeningagent
elementaryeducation	primaryeducation
punjabilanguage	punjabi
astonvilla	villa
ptolemaicegypt	ptolemaickingdom
tirol	tyrol
checkers	draughts
leninism	leninist
bulimianervosa	bulimia
countyroscommon	roscommon
casanova	giacomocasanova
sneakers	sneaker
pda	personaldigitalassistant
bacchus	dionysus
repetitivestraininjury	rsi
nanjing	nanking
modestmussorgsky	mussorgsky
california	calif
hmmwv	humvee
derry	londonderry
thevandals	vandals
legalentity	legalpersonality
neurofibromatosis	nf
rsasecurity	rsa
bretonlanguage	breton
centreparty	zentrum
railtracks	track
racemicmixture	racemic
eastcarolinauniversity	ecu
larryfine	larry
nationalfootballleague	nfl
cusco	cuzco
blackcrowes	theblackcrowes
afrikaanslanguage	afrikaans
gallianarbonensis	transalpinegaul
psychokinesis	telekinesis
newinternationalversion	niv
americannationalstandardsinstitute	ansi
memorysegmentation	segmentation
uci	unioncyclisteinternationale
canadianprairies	prairies
georgsolti	sirgeorgsolti
oswaldmosley	siroswaldmosley
wrinkles	wrinkle
lagosstate	lagos
milkywaygalaxy	milkyway
maharishi	maharshi
hansarp	jeanarp
rnasplicing	splicing
phoenicians	phoenicia
echoawards	echo
pectins	pectin
japaneselanguage	japanese
indycar	irl
explosivematerial	explosive
mobiloil	mobil
cello	violoncello
jeanpaulsartre	sartre
squint	strabismus
eminem	marshallmathers
gongs	gong
hittiteempire	hittites
playstation3	ps3
benkenobi	obiwankenobi
joker	thejoker
eideticmemory	photographicmemory
panamericanworldairways	panam
northernlights	thegoldencompass
sampson	samson
babar	babur
adrianboult	siradrianboult
luxembourgcity	luxembourg
hydrochloricacid	muriaticacid
worcestercounty	worcester
arteriovenousmalformation	avm
signage	sign
princevijaya	vijaya
aphelion	perihelion
latraviata	violetta
uhf	ultrahighfrequency
orsonwelles	welles
operatingsystem	os
folkmusic	folk
ascorbate	vitaminc
hughlaurie	laurie
cpv	vietnamesecommunistparty
daffyduck	daffy
anorexianervosa	anorexia
britishindia	britishraj
annamaebullock	tinaturner
yawning	yawn
pakistanarmy	pakistaniarmy
financialindustryregulatoryauthority	finra
braunschweig	brunswick
unitedstatesmilitaryacademy	westpoint
confucianism	confucian
risperdal	risperidone
westinghouseelectriccorporation	westinghouseelectric
pretenders	thepretenders
thewombles	wombles
dowjonesindustrialaverage	dowjones
gebuilding	rcabuilding
cantos	thecantos
sfu	simonfraseruniversity
celebrity	tvpersonality
dubaiairport	dubaiinternationalairport
anglicanism	anglican
lagalaxy	losangelesgalaxy
christianrevival	revivalism
newjersey	nj
oleaeuropaea	olive
americanwest	westernunitedstates
bobweinstein	bob
browser	webbrowser
countytipperary	tipperary
myopia	nearsightedness
alphonsedaudet	daudet
borgqueen	borg
blackcat	felicia
acutemyeloidleukemia	aml
pequeninos	piggies
plasmaphysics	plasma
dwarves	thedwarves
conartist	conman
medievalperiod	middleages
grindcore	grind
mixedmartialarts	mma
peregrintook	pippin
rallyracing	rallying
edmondrostand	rostand
cadburyschweppes	cadbury
valleys	valley
easternwu	wu
pasteurisation	pasteurization
junkersju87	stuka
personalitydisorders	personalitydisorder
denvernuggets	nuggets
revenge	vengeance
akc	americankennelclub
sirthomasmore	thomasmore
princesssailormoon	sailormoon
dmitrishostakovich	shostakovich
c64	commodore64
benedictineorder	benedictine
taiwanesehokkien	taiwanese
losangelestimes	thelosangelestimes
fozziebear	fozzie
heraldsun	theherald
monopolies	monopoly
mosdef	mos
brynhildr	brynhild
neonazism	neonazi
ayersrock	uluru
hardwarestores	hardwarestore
diabeticketoacidosis	dka
medallion	medal
cactaceae	cactus
linkinpark	xero
latinvulgate	vulgate
cosmos	kosmos
albuquerque	alburquerque
highcholesterol	hypercholesterolemia
rajivgandhi	rajiv
crater	impactcrater
arthurcompton	arthurhollycompton
hurricaneirene	tropicalstormirene
arachnida	arachnid
greattribulation	tribulation
http	hypertexttransferprotocol
sneeze	sneezing
flanders	flemishregion
kansascityathletics	oaklandathletics
fontfamily	typeface
lascala	teatroallascala
rebamcentire	reba
sports	sport
dyspepsia	indigestion
executiveofficer	xo
baltimorecity	baltimore
boeing	theboeingcompany
billgaines	williamgaines
49ers	sanfrancisco49ers
initialpublicoffering	ipo
adrianople	edirne
nationalbroadcastingcompany	nbc
administrativecenter	administrativecentre
emperorhirohito	hirohito
khannooniensingh	khan
drafter	draughtsman
wallonia	walloonregion
creelanguage	cree
boils	boil
davidcameron	primeministerdavidcameron
portjackson	sydneyharbour
realtimestrategy	rts
rudolphgiuliani	rudygiuliani
flatulence	flatus
succinate	succinicacid
coach	headcoach
lesbianism	lesbian
americanrecordings	defamerican
lakemalawi	lakenyasa
osagenation	osage
diplopoda	millipede
teslas	tesla
ghostfacekillah	ghostface
plazahotel	theplaza
boxjellyfish	cubozoa
uzbeklanguage	uzbek
bonnaroomusicfestival	bonnaroo
metoffice	meteorologicaloffice
dishnetwork	dish
chinesecuisine	chinesefood
education	teaching
slits	theslits
labordayweekend	laborday
rastafarian	rastafari
alms	americanlemansseries
danniiminogue	dannii
networkadapter	networkcard
intrauterinedevice	iud
paulreubens	reubens
dacia	romandacia
edgarallanpoe	poe
greenpeaceinternational	greenpeace
sacagawea	sakakawea
walton	williamwalton
americans	american
kanagawaprefecture	kanagawa
giantpanda	panda
shawcommunications	shaw
internalrevenueservice	irs
fibonaccinumber	fibonaccisequence
ia	iowa
urinalysis	urinetest
transferrna	trna
ap	associatedpress
cellmembrane	plasmamembrane
aridclimate	desertclimate
globalpositioningsystem	gps
uthmanibnaffan	uthman
setswana	tswana
corea	korea
essays	theessays
sephardijews	sephardicjews
asianbritish	britishasian
msnmessenger	windowslivemessenger
majorleaguebaseball	mlb
mississippistatepenitentiary	parchman
smothersbrothers	thesmothersbrothers
attacker	striker
totalloss	totaled
stonetemplepilots	stp
harzmountains	harz
secureshell	ssh
dreamworksskg	dreamworks
arvn	southvietnamesearmy
phrygians	phrygia
sleeping	sleep
reims	rheims
jawaharlalnehru	nehru
cryptography	cryptology
alexanderpushkin	pushkin
ukrainiansovietsocialistrepublic	ukrainianssr
ebert	rogerebert
jacquesoffenbach	offenbach
heat	miamiheat
amiga	commodoreamiga
edgaraward	edgars
whiskey	whisky
naturalresources	naturalresource
ottomanarchitecture	ottoman
generaljameswolfe	jameswolfe
mekongriver	mekong
carlmariavonweber	weber
history	thehistorychannel
dprk	northkorea
destiny	fate
roughtraderecords	roughtrade
galanthus	snowdrop
epicfantasy	highfantasy
daffodil	narcissus
bertoltbrecht	brecht
henrywood	sirhenrywood
kashubianlanguage	kashubian
umno	unitedmalaysnationalorganisation
staxrecords	stax
aasho	aashto
bosch	robertboschgmbh
euclideangeometry	euclideanplane
chemicalweapons	chemicalweapon
mechanicalwork	work
cutlerbay	cutlerridge
thrace	westernthrace
palestinianauthority	palestiniannationalauthority
hannabarberaproductions	hannabarbera
highpriest	kohengadol
grandfunkrailroad	grandfunk
alhirschfeld	hirschfeld
iconium	konya
archies	thearchies
claudedebussy	debussy
hetfield	jameshetfield
socialsystems	socialsystem
devonshire	devon
phenylalanine	phe
medfordtownship	medford
f4phantomii	mcdonnelldouglasf4phantomii
stooges	thestooges
geestland	geest
experts	expert
augustarichmondcounty	augusta
fugees	thefugees
lakotapeople	lakotasioux
dominic	saintdominic
jainism	jain
allterrainvehicle	quad
menopausal	menopause
salvationarmy	thesalvationarmy
pergamon	pergamum
palaeography	paleography
vcd	videocd
massachusettsbaytransportationauthority	mbta
achaemeniddynasty	achaemenidempire
orinocoriver	orinoco
balochistan	baluchistan
standardcharteredbank	standardchartered
kingstontrio	thekingstontrio
tropicaldiseases	tropicaldisease
disulfides	disulfide
fiqh	islamicjurisprudence
laws	law
mililanitown	mililani
joemccarthy	josephmccarthy
radiomast	radiotower
riker	williamriker
filmproduction	filmmaking
phenylketonuria	pku
primenumber	prime
gleevec	imatinib
harveyweinstein	harvey
commodoreinternational	commodore
browncoal	lignite
dacca	dhaka
canallock	lock
leotolstoy	tolstoy
unitedstatesarmedforces	unitedstatesmilitary
sahrawipeople	sahrawi
epcotcenter	epcot
campground	campsite
absolutemajority	supermajority
militaryorganization	militaryunit
fortunemagazine	fortune
robotics	robot
jerome	saintjerome
greatesthitsalbum	greatesthits
gastriccancer	stomachcancer
orchestral	orchestra
bigblue	ibm
niu	northernillinoisuniversity
cardboard	corrugatedfiberboard
seineriver	seine
jewishpeople	jew
fis	internationalskifederation
romanianlanguage	romanian
hochunk	winnebago
advancedencryptionstandard	rijndael
emccorporation	emc
petermarkroget	roget
vestlandet	westernnorway
managementconsultant	managementconsulting
westerncapeprovince	westerncape
whitemanafb	whitemanairforcebase
rollingstonemagazine	rollingstone
normandylandings	operationneptune
latoyajackson	latoya
grainger	percygrainger
chaney	lonchaney
wyoming	wy
syrianarabrepublic	syria
beethoven	ludwigvanbeethoven
desktoppublishing	dtp
semiconductordevicefabrication	semiconductorfabrication
cleftlip	cleftpalate
commission	committee
englishlanguage	english
iaea	internationalatomicenergyagency
hannover	hanover
bingcrosby	bing
pakistanpeoplesparty	ppp
orthodoxy	orthodox
titans	titan
ladybirdlake	townlake
socialdemocracy	socialdemocrat
thevelvetunderground	velvetunderground
goldenrule	thegoldenrule
naturopathicmedicine	naturopathy
blissymbolics	blissymbols
digitaltelevision	dtv
baalhatanya	shneurzalman
landclaims	landclaim
santorini	thera
beijinguniversity	pekinguniversity
bobbywomack	bobby
coumadin	warfarin
spiketv	spike
teennick	then
bernardobertolucci	bernardo
dramaticpoetry	versedrama
rcarecords	rca
taxation	tax
santaclaus	santa
pentateuch	torah
codex	codices
rogerscentre	skydome
gaymarriage	samesexmarriage
losalamosnationallaboratory	losalamosscientificlaboratory
davidattenborough	sirdavidattenborough
catalanlanguage	catalan
siemensag	siemens
bi	businessintelligence
colonialism	colonial
mayormichaelbloomberg	michaelbloomberg
outerhebrides	westernisles
asphyxiation	asphyxia
stockholmcounty	stockholm
thiruvananthapuram	trivandrum
aristarecords	arista
ohiohighschoolathleticassociation	ohsaa
ukrainianparliament	verkhovnarada
djmuggs	muggs
artificialselection	selectivebreeding
kingmidas	midas
croatia	hrvatska
karlheinzstockhausen	stockhausen
hf	highfrequency
oggvorbis	vorbis
concerttour	concert
genomicimprinting	imprinting
ebroriver	ebro
contractures	contracture
arecaceae	palmtree
thirdworldwar	worldwariii
integratedservicesdigitalnetwork	isdn
blackpeople	black
alfredsisley	sisley
almaata	almaty
constitutionaldemocracy	liberaldemocracy
bhagavadgita	gita
handoff	handover
communities	community
missouri	mo
aichiprefecture	aichi
astronomicalobject	celestialobject
bach	johannsebastianbach
alienation	socialalienation
americanmusicawards	americanmusicaward
goethe	johannwolfgangvongoethe
callcenter	callcentre
pints	pint
anu	australiannationaluniversity
ribosomalrna	rrna
gdp	grossdomesticproduct
hypochondriasis	hypochondria
cars	thecars
prague	praha
greekmacedonia	macedonia
feminism	feminist
kurdishlanguage	kurdish
chiefoperatingofficer	coo
spiritualsequel	spiritualsuccessor
fontane	theodorfontane
bayonets	bayonet
internetarchive	theinternetarchive
hollandia	jayapura
firstladymichelleobama	michelleobama
searstower	willistower
masterstournament	themasters
intergovernmentalorganization	intergovernmental
australiancricketboard	cricketaustralia
witchcraft	witch
robertmenzies	sirrobertmenzies
cordwainerbird	harlanellison
chelseafc	chelsea
newmexico	nm
sulfides	sulfide
electricalengineering	electricalengineer
nanometer	nanometre
blofeld	ernststavroblofeld
lupus	systemiclupuserythematosus
quine	willardvanormanquine
diggers	excavator
basicprogramminglanguage	basic
cn	copernicium
corneille	pierrecorneille
sc	southcarolina
gpu	graphicsprocessingunit
davidfincher	fincher
shimla	simla
financialstatements	financialstatement
faiyum	fayyum
ironmaiden	maiden
cavaliers	cavalier
royalphilharmonicorchestra	royalphilharmonic
qmjhl	quebecmajorjuniorhockeyleague
tornado	twister
timemagazine	time
fungi	fungus
fluoride	fluorine
ilprincipe	theprince
judgement	judgment
marcusantonius	markantony
himalayas	himalaya
su	syracuseuniversity
gurugranthsahib	srigurugranthsahib
arthurhonegger	honegger
ifc	internationalfinancecorporation
bernhardt	sarahbernhardt
athlon	k7
anaemia	anemia
scrubland	shrubland
sanpeople	san
bart	bayarearapidtransit
moehoward	moe
jonpertwee	pertwee
fungalinfections	fungalinfection
mormonism	mormon
digitalmillenniumcopyrightact	dmca
darkhorsecomics	darkhorse
beckenbauer	franzbeckenbauer
dobrudja	dobruja
nikolairimskykorsakov	rimskykorsakov
curriculumvitae	cv
ifrs	internationalfinancialreportingstandards
faz	frankfurterallgemeinezeitung
medevac	medicalevacuation
papiamento	papiamentu
denguefever	dengue
attleborough	attleboro
interpersonalrelationship	relationships
thewhitestripes	whitestripes
pdf	portabledocumentformat
pannonianbasin	pannonianplain
computerprinter	printer
blackholes	blackhole
messiaen	oliviermessiaen
hinterlands	hinterland
f104starfighter	lockheedf104starfighter
barcelona	fcbarcelona
gaga	ladygaga
monosodiumglutamate	msg
lawrencelivermorenationallaboratory	llnl
sundancefilmfestival	sundance
richardrodgers	rodgers
robinsafb	robinsairforcebase
paoloveronese	veronese
isakdinesen	karenblixen
amphibians	amphibian
intubation	trachealintubation
fe	iron
rensselaerpolytechnicinstitute	rpi
remains	theremains
relaxationtime	relaxation
lapd	losangelespolicedepartment
postmodernarchitecture	postmodern
sanfranciscointernationalairport	sfo
acrylicpaint	acrylic
transworldairlines	twa
minicooper	mini
humansociety	society
lakotalanguage	lakota
roseannebarr	roseanne
totalqualitymanagement	tqm
abbott	budabbott
australianoutback	outback
faboideae	papilionoideae
klia	kualalumpurinternationalairport
interprocesscommunication	ipc
adenosinetriphosphate	atp
humanskincolor	skinpigmentation
xeroxcorporation	xerox
pdb	proteindatabank
lastjudgement	lastjudgment
nationalgeographicmagazine	nationalgeographic
hdtv	highdefinitiontelevision
sixnationschampionship	sixnations
fracking	hydraulicfracturing
dukeuniversity	duke
alexainternet	alexa
internationaltelecommunicationunion	itu
biopiracy	bioprospecting
paramahansayogananda	yogananda
widereceiver	wr
herodantipas	herod
glinka	mikhailglinka
kinks	thekinks
fulbrightscholarship	fulbrightscholar
barisannasional	bn
doublepneumonia	pneumonia
microsoftoutlook	outlook
losangelesphilharmonicorchestra	losangelesphilharmonic
imap	internetmessageaccessprotocol
novonikolayevsk	novosibirsk
aquariums	aquarium
fusedquartz	fusedsilica
carlnielsen	nielsen
spinmagazine	spin
microwaveoven	microwave
berlioz	hectorberlioz
marxbrothers	themarxbrothers
utopias	utopia
ebenezerscrooge	scrooge
wipo	worldintellectualpropertyorganization
dailyexpress	sundayexpress
jeanplaidy	victoriaholt
bostonherald	thebostonherald
uncialscript	uncial
ceylon	srilanka
nebraska	ne
droitwichspa	droitwich
plasmatics	theplasmatics
seanlennon	sean
monosaccharides	monosaccharide
englishsetter	laverack
oldprussian	prussian
petrarchansonnet	petrarchan
imf	internationalmonetaryfund
kingjamesbible	kingjamesversion
dutcheastindiacompany	voc
epitaphrecords	epitaph
dardanelles	hellespont
professor	universityprofessor
hallmarkcards	hallmark
kilimanjaro	mountkilimanjaro
licenseplates	numberplate
eidaladha	eiduladha
tempest	thetempest
cascadingstylesheets	css
daponte	lorenzodaponte
bnl	brookhavennationallaboratory
plebiscite	referendum
diseases	disease
straycats	thestraycats
salah	salat
citigroup	citi
dallasarearapidtransit	dart
mauriceravel	ravel
scalablevectorgraphics	svg
bellcanada	bell
katangaprovince	katanga
repertorytheatre	repertory
ccir	itur
henrypurcell	purcell
josquindesprez	josquin
tisa	tisza
adm	archerdanielsmidland
nationalcancerinstitute	nci
nederlandsespoorwegen	ns
gemstone	gem
stadholder	stadtholder
longhilltownship	longhill
fafner	fafnir
theweb	worldwideweb
jeangrey	marvelgirl
guncrime	gunviolence
wrightpattersonafb	wrightpattersonairforcebase
osho	rajneesh
baroda	vadodara
southcentrallosangeles	southlosangeles
ponds	pond
chechenrepublic	chechnya
greenlandic	kalaallisut
sererpeople	serer
wbc	worldboxingcouncil
ambientmusic	ambient
electronicinstruments	electronicmusicalinstrument
phoenixsuns	suns
antenna	radioantenna
antoniovivaldi	vivaldi
danuberiver	danube
alberteinstein	einstein
electronicengineering	electronicsengineering
artbrut	outsiderart
roskosmos	russianfederalspaceagency
dizzygillespie	dizzy
macedonianlanguage	macedonian
carmelbythesea	carmel
justinmartyr	justin
judicialsystem	judiciary
russianorthodoxchurch	russianorthodox
radnorshire	radnor
johnjones	martianmanhunter
juilliardschool	juilliard
commune	municipality
aoltimewarner	timewarner
gaulishlanguage	gaulish
edoperiod	tokugawaperiod
classconflict	classstruggle
bms	bristolmyerssquibb
antonwebern	webern
frege	gottlobfrege
